symbol,open,close,high,low,volume,changePercent,date,companyName,sector
CDAY,49.19,49.17,49.38,48.8,496695,-0.0051,2019-10-14,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,49.24,49.75,50.23,49.08,354408,0.0118,2019-10-15,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,49.48,46.2,49.48,46.16,1136908,-0.0714,2019-10-16,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,46.38,45.63,46.72,45.34,1176103,-0.0123,2019-10-17,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,45.59,44.74,45.71,43.25,1728309,-0.0195,2019-10-18,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,45.07,45.38,45.53,44.8,1041476,0.0143,2019-10-21,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,45.66,42.67,45.96,42.57,1531938,-0.0597,2019-10-22,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,42.5,43.14,43.665,41.81,1515773,0.011,2019-10-23,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,43.54,45.12,45.22,43.3,1432886,0.0459,2019-10-24,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,46.12,46.19,46.43,45.15,819484,0.0237,2019-10-25,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,46.61,46.2,46.65,45.72,653742,0.0002,2019-10-28,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,46.1,45.02,46.5,45.0,509226,-0.0255,2019-10-29,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,45.36,45.43,45.67,44.74,666437,0.0091,2019-10-30,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,48.09,48.25,48.83,46.73,4780104,0.0621,2019-10-31,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,48.25,49.51,49.77,47.73,3203949,0.0261,2019-11-01,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
CDAY,49.7,49.78,50.21,48.91,17699103,0.0055,2019-11-04,Ceridian HCM Holding Inc.,"Professional, Scientific, and Technical Services"
